ContractingOfficeCode	fiscal_year	obligatedamount_1year	numberofactions_1year	NumberOfTransactions_1year	NumberOfContracts_1year	numberofactions_7year	obligatedamount_7year	PBSCobligated_7year
UA00Y	2002	62186.0000	2	2	2	NULL	NULL	NULL
JA116	1993	-120701.0000	2	2	2	NULL	NULL	NULL
W911SA	2006	91568591.0000	1627	1597	1152	NULL	NULL	NULL
W9133L	2007	402015248.3500	1112	1128	833	NULL	NULL	NULL
ID100	2012	1876715.0896	215	226	205	NULL	NULL	NULL
BZ002	2001	3624478807.0000	436	438	137	NULL	NULL	NULL
KF31 	1997	10754516.0000	109	109	54	NULL	NULL	NULL
W912GY	2010	21369354.4125	607	548	385	NULL	NULL	NULL
N4523A	2018	117439342.1501	551	573	194	NULL	NULL	NULL
00581S	2008	12899284.7049	7885	7881	7881	NULL	NULL	NULL
75N910	2017	1041672917.6504	2199	2253	1964	NULL	NULL	NULL
W9132V	2008	287326206.2248	583	630	346	NULL	NULL	NULL
CZ24	2004	120263779.0000	255	259	100	NULL	NULL	NULL
10907	2005	5098618.3766	56	72	57	NULL	NULL	NULL
FA7037	2016	107214033.9743	412	347	216	NULL	NULL	NULL
ACBBD	2002	4273000.0000	28	28	27	NULL	NULL	NULL
1ZD30 	1991	276002000.0000	NULL	802	513	NULL	NULL	NULL
52KY	2012	1407279.3413	75	75	64	NULL	NULL	NULL
00023	2005	1339185903.8212	981	1004	678	NULL	NULL	NULL
03142	2003	138187696.9766	568	612	480	NULL	NULL	NULL
36P621	2017	2424192.0343	242	178	176	NULL	NULL	NULL
SPM7M3	2012	75851599.0250	4469	4491	4066	NULL	NULL	NULL
00550	2004	8161477.0000	116	131	131	NULL	NULL	NULL
GM20	2002	58492411.0000	236	236	214	NULL	NULL	NULL
HA12 	1996	20380823.0000	63	63	47	NULL	NULL	NULL
AMIT	2013	277139222.1137	999	1034	632	NULL	NULL	NULL
FA6643	2013	85326480.6897	343	363	284	NULL	NULL	NULL
DEAEP	2006	528615.0613	97	97	95	NULL	NULL	NULL
HE1280	2011	148963695.8793	662	921	528	NULL	NULL	NULL
31603	2007	5671969.2498	533	537	519	NULL	NULL	NULL
BD402	1995	15864.0000	3	3	3	NULL	NULL	NULL
MCI	2012	13361.3604	2	2	2	NULL	NULL	NULL
00002	2010	31163029.3640	251	273	193	NULL	NULL	NULL
N3654A	2014	4458551.1059	390	398	251	NULL	NULL	NULL
00029	2006	178716614.9711	60	60	12	NULL	NULL	NULL
00116	2004	51744.7801	19	21	16	NULL	NULL	NULL
DEAWE	2013	249669.7598	72	72	46	NULL	NULL	NULL
0116	2011	18441390.3662	303	330	255	NULL	NULL	NULL
GILWV	2014	5455905.7200	686	683	683	NULL	NULL	NULL
GC20	2000	243471867.0000	1581	1581	495	NULL	NULL	NULL
3198	2003	28000.0000	3	3	2	NULL	NULL	NULL
BP000	2012	407895356.3044	1336	1479	307	NULL	NULL	NULL
2JA121	1991	11999000.0000	NULL	172	80	NULL	NULL	NULL
W912D1	2004	253835936.0000	1	5	5	NULL	NULL	NULL
W9124L	2006	113899142.0626	1523	1159	902	NULL	NULL	NULL
00649S	2009	8237719.3566	4523	4523	4523	NULL	NULL	NULL
FA8721	2009	1364941855.8028	1143	1173	175	NULL	NULL	NULL
06000	2003	44851732.0000	12	41	38	NULL	NULL	NULL
GU22 	1996	518662671.0000	62	62	14	NULL	NULL	NULL
PDS01	2007	666946541.9300	1720	1744	1715	NULL	NULL	NULL
82AK	2014	756426.7628	67	72	57	NULL	NULL	NULL
SCHPA	2005	3292077.8830	312	312	311	NULL	NULL	NULL
2AC524	1993	22368752.0000	NULL	11	6	NULL	NULL	NULL
04P5	2016	1581874.4701	67	68	56	NULL	NULL	NULL
FA5215	2017	141354755.5830	795	739	483	NULL	NULL	NULL
4T1	2008	1630570.7911	149	155	129	NULL	NULL	NULL
S0602A	2013	-29164174.8623	427	427	385	NULL	NULL	NULL
SJP11A	2015	4647285.3100	227	227	90	NULL	NULL	NULL
3151	2006	84631294.5151	221	230	202	NULL	NULL	NULL
MT004	2008	27122.1000	4	4	4	NULL	NULL	NULL
00658S	2008	13493235.8253	6690	6690	6690	NULL	NULL	NULL
NSC00	2010	801599.2131	195	195	151	NULL	NULL	NULL
00766	2003	180620000.0000	28	29	29	NULL	NULL	NULL
GF50 	1998	255159144.0000	819	819	532	NULL	NULL	NULL
NMO00	2006	1835125594.5118	540	540	431	NULL	NULL	NULL
30605	2011	6698855.1894	500	512	471	NULL	NULL	NULL
MT060	2001	126000.0000	8	8	7	NULL	NULL	NULL
QA000	2015	2888811.0885	218	218	131	NULL	NULL	NULL
HC1047	2016	866538099.0434	1379	1408	609	NULL	NULL	NULL
BB000	2002	388166.2734	3	4	4	NULL	NULL	NULL
50640	2012	73180817.6046	413	655	426	NULL	NULL	NULL
SPE5E4	2015	32287893.1705	2915	2915	2740	NULL	NULL	NULL
S4001A	2017	-19766068.2304	94	94	83	NULL	NULL	NULL
FA4890	2005	18295622.0000	7	10	9	NULL	NULL	NULL
AC000	2008	64519887.3793	393	400	274	NULL	NULL	NULL
SPRRA1	2014	138562481.0500	430	483	355	NULL	NULL	NULL
000G1	2004	9062672.7031	137	140	117	NULL	NULL	NULL
091S8	2005	1747779.5121	0	54	14	NULL	NULL	NULL
SPM720	2007	499741.0000	43	44	44	NULL	NULL	NULL
S0303A	2015	-25454345.2982	68	70	60	NULL	NULL	NULL
N00203	2017	2651514.7552	483	486	362	NULL	NULL	NULL
N44466	2014	1772660.6002	134	134	124	NULL	NULL	NULL
G2381	1997	35657603.0000	189	189	68	NULL	NULL	NULL
12203	2015	3535529.0972	586	591	414	NULL	NULL	NULL
121358	2017	254280.0000	0	1	1	NULL	NULL	NULL
MA06	2000	2111140.0000	21	21	12	NULL	NULL	NULL
CA770	2016	887713.8800	121	135	96	NULL	NULL	NULL
NK000	2006	15912227.6038	8791	8932	8757	NULL	NULL	NULL
720668	2017	37821302.4653	134	134	116	NULL	NULL	NULL
043ZP	2001	11632000.0000	106	110	97	NULL	NULL	NULL
00130	2005	990362.0701	159	159	155	NULL	NULL	NULL
FA8681	2018	176396649.5840	280	292	149	NULL	NULL	NULL
002S2	2004	25975.0000	2	2	1	NULL	NULL	NULL
RG524	1995	397525.0000	7	7	6	NULL	NULL	NULL
15JENR	2017	16197120.3078	327	327	317	NULL	NULL	NULL
40303	2013	5335125.8283	517	521	456	NULL	NULL	NULL
JC001	2014	130706721.0000	183	183	24	NULL	NULL	NULL
91W2	2007	48957.2806	6	7	7	NULL	NULL	NULL
00674S	2008	24609634.1452	10072	10072	10072	NULL	NULL	NULL
1JA85 	1992	8235000.0000	NULL	85	51	NULL	NULL	NULL
00126	2005	3139763.1418	423	423	225	NULL	NULL	NULL
EREOK	2013	2976031.1715	164	126	126	NULL	NULL	NULL
W912SR	2005	583330.0000	2	4	4	NULL	NULL	NULL
5GG	2004	499625.2500	4	4	4	NULL	NULL	NULL
MT850	2011	650350.2174	59	58	53	NULL	NULL	NULL
PW000	2015	17060335.0296	138	171	101	NULL	NULL	NULL
F6847	2003	4532575.0000	40	40	36	NULL	NULL	NULL
WA40B	1999	3099790.0000	65	65	46	NULL	NULL	NULL
W91238	2014	446414823.0850	1386	1543	989	NULL	NULL	NULL
00010	2002	36155684.7996	182	187	108	NULL	NULL	NULL
000G7	2011	1041903.8313	86	86	76	NULL	NULL	NULL
00010	2005	36192969.0978	547	587	338	NULL	NULL	NULL
FA8553	2013	171514110.8094	149	153	46	NULL	NULL	NULL
GD20	2002	214940108.0000	889	896	768	NULL	NULL	NULL
JA89 	1998	81485119.0000	336	336	252	NULL	NULL	NULL
31402	2005	1218110.6374	32	33	22	NULL	NULL	NULL
CA595	2015	20787.3200	2	2	2	NULL	NULL	NULL
00034	2006	1027211.6090	171	171	112	NULL	NULL	NULL
GR100	2005	1765336.0000	1	1	1	NULL	NULL	NULL
0295	2008	5054281.6777	166	187	167	NULL	NULL	NULL
FA	2007	0.0000	1	1	1	NULL	NULL	NULL
2032K7	2018	7544817.5002	49	56	49	NULL	NULL	NULL
RS890	2006	438109.0000	201	29	29	NULL	NULL	NULL
ATR01	2013	4368023.7857	104	104	101	NULL	NULL	NULL
HA33	2001	7024363.0000	34	35	29	NULL	NULL	NULL
HAZWV	2013	10842.2000	8	8	8	NULL	NULL	NULL
2TC705	1993	1127320.0000	NULL	14	2	NULL	NULL	NULL
GU47	2000	203529156.0000	54	54	6	NULL	NULL	NULL
UG500	2004	1565657.0000	25	25	25	NULL	NULL	NULL
IS400	2009	4372502.0046	2046	277	206	NULL	NULL	NULL
31402	2008	5655632.0791	397	395	315	NULL	NULL	NULL
54A7	2011	886425.5106	121	120	89	NULL	NULL	NULL
AT732	2002	81618600.0000	71	73	33	NULL	NULL	NULL
12569R	2017	6879327.8233	202	224	166	NULL	NULL	NULL
BU800	2010	2529597.8081	1643	125	125	NULL	NULL	NULL
SPM2D0	2013	23249413.0594	458	477	477	NULL	NULL	NULL
W91ZRU	2010	92472674.3536	472	487	379	NULL	NULL	NULL
CH550	2009	2534.7400	3	4	4	NULL	NULL	NULL
OR080	2011	2810802.9266	363	364	269	NULL	NULL	NULL
1484	2012	303617.2711	155	163	122	NULL	NULL	NULL
OR080	2008	2707244.0625	322	335	283	NULL	NULL	NULL
FA8214	2009	680315993.7623	287	288	13	NULL	NULL	NULL
SPM7M8	2009	80874440.0000	3793	3816	3816	NULL	NULL	NULL
CM800	2013	3460060.0698	224	256	223	NULL	NULL	NULL
NK000	2010	16718141.8318	10662	11220	9037	NULL	NULL	NULL
R6CO00	2013	70599786.3488	601	648	366	NULL	NULL	NULL
W9126G	2010	3162276601.8256	4462	4952	3217	NULL	NULL	NULL
ER100	2006	781191.0314	207	108	108	NULL	NULL	NULL
BC663	2008	130602165.6607	708	910	613	NULL	NULL	NULL
HA10	2000	6142180.0000	89	89	35	NULL	NULL	NULL
00031	2009	40665.6401	9	9	8	NULL	NULL	NULL
15JA03	2018	611060.0710	36	36	16	NULL	NULL	NULL
333216	2018	271973.8615	18	18	18	NULL	NULL	NULL
SP0930	2006	35970072.0000	2989	3145	3137	NULL	NULL	NULL
GE37	2004	262716662.5000	287	291	233	NULL	NULL	NULL
EE470	2009	197077.7598	58	58	57	NULL	NULL	NULL
G0433	2003	11568655.0000	20	20	5	NULL	NULL	NULL
91U9	2008	712104.7003	119	121	97	NULL	NULL	NULL
064KX	2002	13410000.0000	80	88	81	NULL	NULL	NULL
AA411	1995	-357725857.0000	10	10	3	NULL	NULL	NULL
ACD00	2016	103017928.8090	1178	1210	835	NULL	NULL	NULL
DS000	2007	312395076.1628	1671	1670	853	NULL	NULL	NULL
CRM01	2015	14897926.1782	227	223	191	NULL	NULL	NULL
W9124Q	2017	118143178.7016	300	329	216	NULL	NULL	NULL
AE32	2001	24424215.0000	175	184	159	NULL	NULL	NULL
DA13 	1997	14616466.0000	165	165	102	NULL	NULL	NULL
00010	2002	24146443.5625	181	195	153	NULL	NULL	NULL
61005	2005	5673204.1875	44	48	42	NULL	NULL	NULL
6114	2008	229029.1334	18	19	11	NULL	NULL	NULL
C8925	1998	52013973.0000	297	297	92	NULL	NULL	NULL
FA8656	2015	77185542.1600	170	185	77	NULL	NULL	NULL
2TD503	1993	41391249.0000	NULL	493	53	NULL	NULL	NULL
SP0412	2005	0.0000	0	4	4	NULL	NULL	NULL
FA2263	2012	34594567.1827	166	125	68	NULL	NULL	NULL
MT999	2011	161755395.8160	159	168	56	NULL	NULL	NULL
41702	2009	3974784.1005	390	397	340	NULL	NULL	NULL
N49093	2014	545399.3000	31	31	31	NULL	NULL	NULL
SP0103	2002	0.0000	1	1	1	NULL	NULL	NULL
TS800	2004	1193110.3828	16	17	11	NULL	NULL	NULL
WK000	2004	1005076.0000	59	60	55	NULL	NULL	NULL
FA2550	2004	0.0000	1	3	3	NULL	NULL	NULL
DMDC0	2014	319466177.9968	585	695	308	NULL	NULL	NULL
720168	2017	5944099.5853	41	41	33	NULL	NULL	NULL
FA3020	2009	133507220.1930	1141	892	539	NULL	NULL	NULL
N63232	2009	205555.0000	2	2	2	NULL	NULL	NULL
51A8	2009	1129172.3146	110	110	87	NULL	NULL	NULL
DT000	2008	227798781.6255	556	572	105	NULL	NULL	NULL
00248	2005	131716.0000	0	2	1	NULL	NULL	NULL
00235	2007	9271888.4061	233	245	168	NULL	NULL	NULL
WR000	2004	2679224.0000	93	96	77	NULL	NULL	NULL
V09527	2013	428882.3604	55	55	55	NULL	NULL	NULL
SPM7MC	2018	0.0000	1	2	2	NULL	NULL	NULL
W91GF5	2011	83641560.6758	1211	1261	741	NULL	NULL	NULL
00248	2002	324000.0000	2	2	2	NULL	NULL	NULL
TALFL	2003	4592000.0000	183	184	164	NULL	NULL	NULL
W90BRJ	2005	170733636.8868	539	615	531	NULL	NULL	NULL
GX000	2002	58440973.2735	324	355	308	NULL	NULL	NULL
RN200	1995	31829809.0000	78	78	69	NULL	NULL	NULL
11804	2008	4714983.2629	542	550	481	NULL	NULL	NULL
BW25A	1995	40000.0000	1	1	1	NULL	NULL	NULL
GZ39 	1998	398956975.0000	63	63	13	NULL	NULL	NULL
3QA06 	1993	135883180.0000	NULL	696	228	NULL	NULL	NULL
1KF12 	1993	26265442.0000	NULL	107	35	NULL	NULL	NULL
CA455	2003	851000.0000	3	4	3	NULL	NULL	NULL
N00211	2008	6661918.0492	255	255	248	NULL	NULL	NULL
00262	2004	220047396.4180	920	1015	967	NULL	NULL	NULL
SPM5M2	2013	4955534.7206	395	412	380	NULL	NULL	NULL
N63234	2008	788478.5938	2	2	2	NULL	NULL	NULL
CA310	2002	0.0000	0	2	2	NULL	NULL	NULL
7442	2003	0.0000	0	1	1	NULL	NULL	NULL
W911SD	2015	156709627.2703	1483	1351	1039	NULL	NULL	NULL
N68093	2005	155709.0000	5	5	5	NULL	NULL	NULL
N68742	2016	3775712.1572	162	157	147	NULL	NULL	NULL
82B1	2010	23089522.5931	126	153	114	NULL	NULL	NULL
RS511	2000	861207.0000	9	9	9	NULL	NULL	NULL
RN603	2002	47575343.0000	413	454	321	NULL	NULL	NULL
N61962	2016	35072.0000	6	9	8	NULL	NULL	NULL
FA4479	2004	50650.0300	5	6	5	NULL	NULL	NULL
3J1	2008	131524.8401	31	31	30	NULL	NULL	NULL
63KY	2016	101150.0000	227	227	225	NULL	NULL	NULL
00503S	2009	2532774.1149	2983	2983	2983	NULL	NULL	NULL
N63212	2016	222058.0000	2	2	2	NULL	NULL	NULL
W912PM	2005	64990076.0000	651	656	406	NULL	NULL	NULL
W912PA	2017	18383898.2065	1924	313	262	NULL	NULL	NULL
RA009	2014	586266.1897	678	669	398	NULL	NULL	NULL
04T0	2010	3837806.8870	231	243	191	NULL	NULL	NULL
EI300	2004	481293.0000	12	13	13	NULL	NULL	NULL
TK695	1996	6644313.0000	67	67	19	NULL	NULL	NULL
SPM7AX	2012	7257893.2615	187	187	171	NULL	NULL	NULL
SPM7L4	2009	77564446.0000	2355	2657	2657	NULL	NULL	NULL
PH000	2005	526744.5274	60	60	57	NULL	NULL	NULL
CH586	2013	1546636.6475	67	82	80	NULL	NULL	NULL
720486	2018	30020612.0570	263	265	224	NULL	NULL	NULL
FA8226	2017	497270.9957	48	48	42	NULL	NULL	NULL
000DK	2001	2776000.0000	28	28	15	NULL	NULL	NULL
KF04 	1999	77902293.0000	156	156	85	NULL	NULL	NULL
00087	2009	410501.8710	65	65	64	NULL	NULL	NULL
JF000	2008	8186853.3674	79	80	41	NULL	NULL	NULL
W912LN	2010	22585563.4138	624	656	517	NULL	NULL	NULL
SPM7M9	2013	158802668.7739	7649	7655	7359	NULL	NULL	NULL
N00183	2011	86421464.3742	4769	4774	3494	NULL	NULL	NULL
31J9	2010	108924.5703	8	8	8	NULL	NULL	NULL
FA2816	2017	54708886.1110	438	402	301	NULL	NULL	NULL
EC750	2014	4045596.7300	284	302	246	NULL	NULL	NULL
2TK767	1991	74000.0000	NULL	1	1	NULL	NULL	NULL
HQ002	2015	26014074.0605	206	215	139	NULL	NULL	NULL
00656	2004	5591386.6797	130	160	153	NULL	NULL	NULL
NM000	2016	0.0000	0	207	48	NULL	NULL	NULL
W912L5	2005	3767978.0000	198	199	189	NULL	NULL	NULL
2NA10J	1993	833971.0000	NULL	4	3	NULL	NULL	NULL
MIN007	2016	22126952.4381	373	391	286	NULL	NULL	NULL
CA05 	1995	246974678.0000	316	316	148	NULL	NULL	NULL
SPE2D1	2017	169700021.7953	2759	2780	2707	NULL	NULL	NULL
GJ10 	1996	90315083.0000	126	126	24	NULL	NULL	NULL
TZ200	2011	5936747.9516	385	369	352	NULL	NULL	NULL
10303	2016	9142663.9878	507	508	439	NULL	NULL	NULL
9565	2013	1079274.7502	71	74	52	NULL	NULL	NULL
F2613	2001	330752.0000	8	10	10	NULL	NULL	NULL
UE600	1995	77595.0000	1	1	1	NULL	NULL	NULL
CA89 	1996	752802.0000	14	14	14	NULL	NULL	NULL
KZ000	2006	10576071.1033	108	112	58	NULL	NULL	NULL
PW000	2001	9576108.0000	114	116	66	NULL	NULL	NULL
00610P	2007	1923072.4031	12398	3152	3152	NULL	NULL	NULL
SU400	2014	11672677.8900	267	283	258	NULL	NULL	NULL
W901UZ	2009	19893889.3890	657	702	471	NULL	NULL	NULL
00250	2006	137605577.7114	858	994	706	NULL	NULL	NULL
N44317	2009	116285.9531	4	4	4	NULL	NULL	NULL
D0222	1998	177166272.0000	160	160	54	NULL	NULL	NULL
CA65	2002	127479456.0000	467	489	395	NULL	NULL	NULL
00313	2006	58236.2703	5	5	5	NULL	NULL	NULL
SPM5EF	2005	0.0000	0	1	1	NULL	NULL	NULL
AS200	2014	2140947.0300	160	455	255	NULL	NULL	NULL
15UMAN	2018	1183134.8124	81	78	78	NULL	NULL	NULL
19MX50	2017	295452.2302	27	27	27	NULL	NULL	NULL
8447	2011	40241583.0358	55	63	60	NULL	NULL	NULL
W911NF	2014	377715013.2298	1703	1762	1105	NULL	NULL	NULL
11411	2003	30250.0000	1	6	6	NULL	NULL	NULL
RC000	2005	1827079.1572	248	248	192	NULL	NULL	NULL
COF00	2015	785.0200	1	1	1	NULL	NULL	NULL
SPM7M3	2016	-49583.4400	2	11	9	NULL	NULL	NULL
91T5	2007	17618238.3165	185	316	226	NULL	NULL	NULL
2RA11E	1992	6300000.0000	NULL	56	44	NULL	NULL	NULL
N68846	2018	99189.9000	41	41	41	NULL	NULL	NULL
F7399	2000	10566250.0000	81	81	56	NULL	NULL	NULL
140P54	2018	11157637.4820	331	335	309	NULL	NULL	NULL
6703	2009	188349.5195	19	19	19	NULL	NULL	NULL
AB07 	1995	1189597002.0000	1260	1260	510	NULL	NULL	NULL
WK209	1998	68034.0000	1	1	1	NULL	NULL	NULL
W91QF5	2012	221912469.9391	1638	1743	1085	NULL	NULL	NULL
1630	2009	27087.0000	4	4	4	NULL	NULL	NULL
3187	2014	65635912.5799	1054	1087	676	NULL	NULL	NULL
W91ZLK	2009	482704213.5769	10257	6528	4405	NULL	NULL	NULL
140F09	2017	25143300.0252	793	806	705	NULL	NULL	NULL
3FV30 	1991	9780000.0000	NULL	98	58	NULL	NULL	NULL
CA78	2001	675330269.0000	363	365	157	NULL	NULL	NULL
FA8504	2012	313070080.2116	191	213	105	NULL	NULL	NULL
SA10A	1999	55588398.0000	304	304	216	NULL	NULL	NULL
FA8601	2018	136157463.7754	3734	2272	1717	NULL	NULL	NULL
DA08 	1996	7410111.0000	105	105	76	NULL	NULL	NULL
UY600	2015	1010442.7200	118	128	110	NULL	NULL	NULL
084M8	2002	15247000.0000	341	341	326	NULL	NULL	NULL
00243	2004	166067060.7802	977	1135	990	NULL	NULL	NULL
DR000	2004	71249.0000	1	1	1	NULL	NULL	NULL
SS40	2014	10563121.2700	230	228	213	NULL	NULL	NULL
KF04 	1995	80545741.0000	200	200	77	NULL	NULL	NULL
N62695	2013	213233.2438	8	8	7	NULL	NULL	NULL
SPE4AX	2018	125089697.0139	15839	15947	15432	NULL	NULL	NULL
2PC11A	1990	219000.0000	NULL	4	4	NULL	NULL	NULL
SGR18A	2012	-2857227.6897	35	35	20	NULL	NULL	NULL
UY000	2010	159413283.1954	33	33	20	NULL	NULL	NULL
BC670	2003	37795737.2109	377	397	260	NULL	NULL	NULL
BS000	2011	0.0000	0	10	10	NULL	NULL	NULL
AC27 	1997	14546970.0000	131	131	78	NULL	NULL	NULL
WA60P	1997	5987466.0000	52	52	41	NULL	NULL	NULL
JO100	2009	3589507.0658	2123	226	220	NULL	NULL	NULL
GB000	2013	20697253.0934	778	812	119	NULL	NULL	NULL
FA220	2006	10654583.5144	580	606	510	NULL	NULL	NULL
GE600	2003	283000.0000	5	6	6	NULL	NULL	NULL
GU47	2001	275843491.0000	61	62	12	NULL	NULL	NULL
AA4M0	1996	1025056516.0000	6	6	4	NULL	NULL	NULL
JA119	1998	27648111.0000	134	134	122	NULL	NULL	NULL
1HA10 	1991	1275000.0000	NULL	7	6	NULL	NULL	NULL
5C16	2016	1054835.1800	72	72	57	NULL	NULL	NULL
NH000	2015	3471834.2548	26	2721	1117	NULL	NULL	NULL
398	2009	-339957.6563	1	1	1	NULL	NULL	NULL
SPE8ES	2015	13650961.4500	887	891	826	NULL	NULL	NULL
QB000	2007	2122554.1564	182	182	145	NULL	NULL	NULL
00060	2016	21884215.9090	498	508	331	NULL	NULL	NULL
6633	2016	1983087.4495	122	126	74	NULL	NULL	NULL
82A7	2012	18484099.8258	638	730	546	NULL	NULL	NULL
MA09 	1995	15054669.0000	97	97	39	NULL	NULL	NULL
HQ0028	2015	44107673.2417	588	609	470	NULL	NULL	NULL
GB500	2009	1758653.3776	212	61	61	NULL	NULL	NULL
AA31 	1995	6807278.0000	44	44	36	NULL	NULL	NULL
00554	2006	3944606.6368	38	38	35	NULL	NULL	NULL
00071	2006	15934.0498	2	2	2	NULL	NULL	NULL
SPM905	2009	83380.0000	3	3	3	NULL	NULL	NULL
EE469	2008	324237.3387	271	271	109	NULL	NULL	NULL
AA03	2003	1.0000	1	1	1	NULL	NULL	NULL
